ページタイトル,施設ジャンル,施設、場所、イベントの名称（読み）,郵便番号,住所,ビル名,フロア数,緯度,経度
千葉市 教育センター,その他市施設,キョウイクセンター,263-0021,千葉市稲毛区轟町3丁目7－9,,,35.630656,140.110055
千葉市 養護教育センター,その他市施設,ヨウゴキョウイクセンター,261-0003,千葉市美浜区高浜3丁目2－3,,,35.620787,140.065965
千葉市 東京事務所,その他市施設,トウキョウジムショ,102-0093,千代田区平河町2丁目4－1,日本都市センター会館９Ｆ,,35.681123,139.738852
千葉市民ギャラリー・いなげ,その他文化施設,シミンギャラリー・イナゲ,263-0034,千葉市稲毛区稲毛1丁目8－35,,,35.634236,140.083235
千葉市 ゆかりの家・いなげ,その他文化施設,チバシユカリノイエ・イナゲ,263-0034,千葉市稲毛区稲毛1丁目16－12,,,35.636228,140.081472
千葉市 社会福祉研修センター,その他文化施設,チバシシャカイフクシケンシュウセンター,260-0844,千葉市中央区千葉寺町1208－2,千葉市ハーモニープラザ２階,,35.594656,140.134666
千葉市 男女共同参画センター,その他文化施設,チバシダンジョキョウドウサンカクセンター,260-0844,千葉市中央区千葉寺町1208－2,千葉市ハーモニープラザ（事務室は、２階にあります。）,,35.594656,140.134666
千葉市 若葉文化ホール,その他文化施設,ワカバブンカホール,264-0004,千葉市若葉区千城台西2丁目1－1,,,35.621799,140.186357
千葉市 文化センター,その他文化施設,ブンカセンター,260-0013,千葉市中央区中央2丁目5－1,千葉中央ツインビル２号館,,35.609718,140.121948
千葉市民会館,その他文化施設,シミンカイカン,260-0017,千葉市中央区要町1－1,,,35.615425,140.120276
千葉市 美浜文化ホール,その他文化施設,ミハマブンカホール,261-0011,千葉市美浜区真砂5丁目15－2,,,35.641097,140.062628
千葉市 京葉銀行文化プラザ,その他文化施設,ケイヨウギンコウブンカプラザ,260-0015,千葉市中央区富士見1丁目3－2,,,35.613185,140.117371
千葉市 南部青少年センター,その他文化施設,チバシナンブセイショウネンセンター,260-0841,千葉市中央区白旗1丁目3－16,,,35.579056,140.138547
千葉市 南部児童文化センター,その他文化施設,ナンブジドウブンカセンター,,千葉市中央区蘇我2丁目3－33,,,35.572424,140.130294
千葉市 科学館,その他文化施設,チバシカガクカン,,千葉市中央区中央4－5－1,きぼーる内　７～１０階,,35.60741,140.12271
千葉市 富田都市農業交流センター,その他文化施設,トミタトシノウギョウコウリュウセンター,265-0041,千葉市若葉区富田町711番地1,,,35.606592,140.243123
千葉市 ビジネス支援センター（きぼーる）,その他文化施設,チバシビジネスシエンセンター（キボール）,260-0013,千葉市中央区中央4丁目5番1号,Ｑｉｂａｌｌ（きぼーる）１３～１５階,,35.607378,140.122529
千葉市 三陽メディアフラワーミュージアム,その他文化施設,サンヨウメディアフラワーミュージアム,261-0003,美浜区高浜7-2-4,,,35.61797,140.065
千葉市 生涯学習センター,その他文化施設,チバシショウガイガクシュウセンター,260-0045,千葉市中央区弁天3丁目7－7,,,35.618159,140.11427
千葉市立埋蔵文化財調査センター,その他文化施設,チバシリツマイゾウブンカザイチョウサセンター,260-0814,千葉市中央区南生実町1210,,,35.558067,140.151203
千葉市立加曽利貝塚博物館,その他文化施設,チバシリツカソリカイヅカハクブツカン,264-0028,千葉市若葉区桜木8丁目33番1号,,,35.6237,140.165328
千葉市立郷土博物館,その他文化施設,チバシリツキョウドハクブツカン,260-0856,千葉市中央区亥鼻1丁目6－1,,,35.604554,140.127202
千葉市 旧生浜町役場庁舎,その他文化施設,キュウオイハママチヤクバチョウシャ,260-0824,千葉市中央区浜野町1290－3,,,35.558611,140.134166
千葉市 美術館,その他文化施設,ビジュツカン,260-8733,千葉市中央区中央3丁目10－8,,,35.608998,140.124589
稲毛記念館,その他文化施設,イナゲキネンカン,261-0003,美浜区高浜7-2-3,,,35.6198285,140.06082
海星庵,その他文化施設,カイセイアン,261-0003,美浜区高浜7-2-3,,,35.6199244,140.060352
野外音楽堂,その他文化施設,ヤガイオンガクドウ,261-0003,美浜区高浜7-2-1,,,35.6206964,140.058904
稲毛民間航空記念館,その他文化施設,イナゲミンカンコウクウキネンカン,261-0003,美浜区高浜7-2-2,,,35.6208969,140.059992
千葉市 都市緑化植物園,その他文化施設,トシリョクカショクブツエン,260-0808,中央区星久喜町278番地,,,35.6018043,140.151612
千葉市民ゴルフ場,スポーツ施設,チバシミンゴルフジョウ,265-0076,千葉市若葉区下田町1005番地,,,35.639735,140.206283
千葉市 こてはし温水プール（多目的ホール、研修室）,スポーツ施設,コテハシオンスイプール（タモクテキホール、ケンシュウシツ）,262-0011,千葉市花見川区三角町750,,,35.673307,140.11627
千葉ポートアリーナ（体力測定室）　　,スポーツ施設,チバポートアリーナ（タイリョクソクテイシツ）,260-0025,千葉市中央区問屋町1－20,,,35.602902,140.111797
アクアリンクちば（千葉アイススケート場）,スポーツ施設,アクアリンクチバ（チバアイススケートジョウ）,261-0002,千葉市美浜区新港224－1,,,35.611044,140.071248
千葉市 稲毛ヨットハーバー,スポーツ施設,イナゲヨットハーバー,261-0012,千葉市美浜区磯辺2丁目8－1,,,35.624027,140.056001
千葉市 稲毛海浜公園スポーツ施設（屋内運動場）,スポーツ施設,イナゲカイヒンコウエンスポーツシセツ（オクナイウンドウジョウ）,261-0003,千葉市美浜区高浜7丁目1－3,,,35.612783,140.068354
千葉市 中田スポーツセンター（多目的運動場、グラウンドゴルフ場）,スポーツ施設,ナカタスポーツセンター（タモクテキウンドウジョウ、グラウンドゴルフジョウ）,265-0043,千葉市若葉区中田町1200－1,,,35.601418,140.224129
千葉市 大宮スポーツ広場（多目的広場）,スポーツ施設,オオミヤスポーツヒロバ（タモクテキヒロバ）,264-0016,千葉市若葉区大宮町3417,,,35.597489,140.177179
千葉市 こてはし温水プール（トレーニング室）,スポーツ施設,コテハシオンスイプール（トレーニングシツ）,262-0011,千葉市花見川区三角町750,,,35.673307,140.11627
千葉ポートアリーナ（トレーニング室）,スポーツ施設,チバポートアリーナ（トレーニングシツ）,260-0025,千葉市中央区問屋町1－20,,,35.602902,140.11172
千葉市 花島公園スポーツ施設（トレーニング室）,スポーツ施設,ハナシマコウエンスポーツシセツ（トレーニングシツ）,262-0042,千葉市花見川区花島町308,,,35.68149,140.096965
千葉市 宮野木スポーツセンター（トレーニング室）,スポーツ施設,ミヤノギスポーツセンター（トレーニングシツ）,263-0054,千葉市稲毛区宮野木町2150番地4,,,35.66299,140.105819
千葉市 みつわ台第２公園スポーツ施設（トレーニング室）,スポーツ施設,ミツワダイダイニコウエンスポーツシセツ（トレーニングシツ）,264-0032,千葉市若葉区みつわ台3丁目3－1,,,35.640936,140.13626
千葉市 古市場公園スポーツ施設（トレーニング室）,スポーツ施設,フルイチバコウエンスポーツシセツ（トレーニングシツ）,266-0026,千葉市緑区古市場町474－277,,,35.549863,140.146316
千葉市 高洲市民プール（トレーニング室）,スポーツ施設,タカスシミンプール（トレーニングシツ）,261-0004,千葉市美浜区高洲4丁目2－1,,,35.633593,140.075519
千葉市 みつわ台第２公園スポーツ施設（プール）,スポーツ施設,ミツワダイダイニコウエンスポーツシセツ（プール）,264-0032,千葉市若葉区みつわ台3丁目3－1,,,35.641757,140.134824
千葉市 有吉公園スポーツ施設（プール）,スポーツ施設,アリヨシコウエンスポーツシセツ（プール）,266-0034,千葉市緑区おゆみ野有吉34－1,,,35.55691,140.167764
千葉市 古市場公園スポーツ施設（プール）,スポーツ施設,フルイチバコウエンスポーツシセツ（プール）,266-0026,千葉市緑区古市場町474－277,,,35.549832,140.147496
千葉市 幸町公園水泳プール,スポーツ施設,サイワイチョウコウエンスイエイプール,261-0001,千葉市美浜区幸町1丁目4,,,35.611148,140.100155
千葉市 高洲市民プール（プール）,スポーツ施設,タカスシミンプール（プール）,261-0004,千葉市美浜区高洲4丁目2－1,,,35.633593,140.075519
千葉市 千葉公園スポーツ施設（プール）,スポーツ施設,チバコウエンスポーツシセツ（プール）,260-0045,千葉市中央区弁天3丁目1－1,,,35.621085,140.113695
稲毛海浜公園プール,スポーツ施設,イナゲカイヒンコウエンプール,261-0003,千葉県千葉市美浜区高浜7-1-1,,,35.6145794,140.0673
千葉市 こてはし温水プール（温水プール）,スポーツ施設,コテハシオンスイプール（オンスイプール）,262-0011,千葉市花見川区三角町750,,,35.673307,140.11627
千葉市 北谷津温水プール,スポーツ施設,キタヤツオンスイプール,265-0067,千葉市若葉区北谷津町327－1,,,35.609727,140.202923
千葉市 中田スポーツセンター（球技場）,スポーツ施設,ナカタスポーツセンター（キュウギジョウ）,265-0043,千葉市若葉区中田町1200－1,,,35.601445,140.224206
千葉市 稲毛海浜公園スポーツ施設（球技場）,スポーツ施設,イナゲカイヒンコウエンスポーツシセツ（キュウギジョウ）,261-0003,千葉市美浜区高浜7丁目1－3,,,35.612243,140.069049
千葉市 千葉公園スポーツ施設（球技場）,スポーツ施設,チバコウエンスポーツシセツ（キュウギジョウ）,260-0045,千葉市中央区弁天4丁目1－1,,,35.622412,140.114972
千葉市 花島公園スポーツ施設（球技場）,スポーツ施設,ハナシマコウエンスポーツシセツ（キュウギジョウ）,262-0042,千葉市花見川区花島町308,,,35.682022,140.098236
千葉市 こてはし温水プール（スポーツ室）,スポーツ施設,コテハシオンスイプール（スポーツシツ）,262-0011,千葉市花見川区三角町750,,,35.673307,140.11627
千葉ポートアリーナ（メインアリーナ、サブアリーナ）　　　,スポーツ施設,チバポートアリーナ（メインアリーナ、サブアリーナ）,260-0025,千葉市中央区問屋町1－20,,,35.602902,140.111797
千葉市 花島公園スポーツ施設（体育館）,スポーツ施設,ハナシマコウエンスポーツシセツ（タイイクカン）,262-0042,千葉市花見川区花島町308,,,35.68149,140.096965
千葉市 宮野木スポーツセンター（体育館）,スポーツ施設,ミヤノギスポーツセンター（タイイクカン）,263-0054,千葉市稲毛区宮野木町2150番地4,,,35.66299,140.105819
千葉市 千葉公園スポーツ施設（体育館）,スポーツ施設,チバコウエンスポーツシセツ（タイイクカン）,260-0045,千葉市中央区弁天3丁目1－1,,,35.620148,140.113773
千葉市 古市場公園スポーツ施設（体育館）,スポーツ施設,フルイチバコウエンスポーツシセツ（タイイクカン）,266-0026,千葉市緑区古市場町474－277,,,35.549863,140.146316
千葉市 みつわ台第２公園スポーツ施設（体育館）,スポーツ施設,ミツワダイダイニコウエンスポーツシセツ（タイイクカン）,264-0032,千葉市若葉区みつわ台3丁目3－1,,,35.640936,140.13626
千葉市 高洲市民プール（体育館）,スポーツ施設,タカスシミンプール（タイイクカン）,261-0004,千葉市美浜区高洲4丁目2－1,,,35.633593,140.075519
千葉市 千葉公園スポーツ施設（庭球場）,スポーツ施設,チバコウエンスポーツシセツ（テイキュウジョウ）,260-0045,千葉市中央区弁天4丁目1－1,,,35.621655,140.11479
千葉市 中田スポーツセンター（庭球場）,スポーツ施設,ナカタスポーツセンター（テイキュウジョウ）,265-0043,千葉市若葉区中田町1200－1,,,35.602098,140.223066
千葉市 みつわ台第２公園スポーツ施設（庭球場）,スポーツ施設,ミツワダイダイニコウエンスポーツシセツ（テイキュウジョウ）,264-0032,千葉市若葉区みつわ台3丁目3－1,,,35.641504,140.134559
千葉市 有吉公園スポーツ施設（庭球場）,スポーツ施設,アリヨシコウエンスポーツシセツ（テイキュウジョウ）,266-0034,千葉市緑区おゆみ野有吉34－1,,,35.556729,140.167389
千葉市 古市場公園スポーツ施設（庭球場）,スポーツ施設,フルイチバコウエンスポーツシセツ（テイキュウジョウ）,266-0026,千葉市緑区古市場町474－277,,,35.548533,140.146885
千葉市 高浜庭球場,スポーツ施設,タカハマテイキュウジョウ,261-0003,千葉市美浜区高浜2丁目1,,,35.618852,140.070426
千葉市 稲毛海浜公園スポーツ施設（庭球場）,スポーツ施設,イナゲカイヒンコウエンスポーツシセツ（テイキュウジョウ）,261-0003,千葉市美浜区高浜7丁目1－3,,,35.614703,140.068166
千葉市 宮野木スポーツセンター（庭球場）,スポーツ施設,ミヤノギスポーツセンター（テイキュウジョウ）,263-0054,千葉市稲毛区宮野木町2150番地4,,,35.662201,140.10509
千葉市 花島公園スポーツ施設（庭球場）,スポーツ施設,ハナシマコウエンスポーツシセツ（テイキュウジョウ）,262-0042,千葉市花見川区花島町308,,,35.681057,140.098181
千葉市 大宮スポーツ広場（庭球場）,スポーツ施設,オオミヤスポーツヒロバ（テイキュウジョウ）,264-0016,千葉市若葉区大宮町3417,,,35.597643,140.176926
千葉市 宮崎スポーツ広場,スポーツ施設,ミヤザキスポーツヒロバ,260-0806,千葉市中央区宮崎2丁目5－26,,,35.580832,140.13677
千葉市 武道館（弓道場）,スポーツ施設,ブドウカン（キュウドウジョウ）,260-0843,千葉市中央区末広2丁目11－24,,,35.59559,140.126886
千葉市 武道館（剣道場）,スポーツ施設,ブドウカン（ケンドウジョウ）,260-0843,千葉市中央区末広2丁目11－24,,,35.59559,140.126886
千葉市 武道館（柔道場）,スポーツ施設,ブドウカン（ジュウドウジョウ）,260-0843,千葉市中央区末広2丁目11－24,,,35.59559,140.126886
千葉市 花島公園スポーツ施設（弓道場）,スポーツ施設,ハナシマコウエンスポーツシセツ（キュウドウジョウ）,262-0042,千葉市花見川区花島町308,,,35.681224,140.097844
千葉市 古市場公園スポーツ施設（千葉市相撲場）,スポーツ施設,フルイチバコウエンスポーツシセツ（チバシスモウジョウ）,266-0026,千葉市緑区古市場町474－277,,,35.549615,140.148003
千葉市 中田スポーツセンター（野球場）,スポーツ施設,ナカタスポーツセンター（ヤキュウジョウ）,265-0043,千葉市若葉区中田町1200－1,,,35.602874,140.224303
千葉市 犢橋公園野球場,スポーツ施設,コテハシコウエンヤキュウジョウ,262-0011,千葉市花見川区三角町656－4,,,35.677543,140.119372
千葉市 みつわ台第２公園スポーツ施設（野球場）,スポーツ施設,ミツワダイダイニコウエンスポーツシセツ（ヤキュウジョウ）,264-0032,千葉市若葉区みつわ台3丁目3－1,,,35.641225,140.135675
千葉市 宮野木スポーツセンター（野球場）,スポーツ施設,ミヤノギスポーツセンター（ヤキュウジョウ）,263-0054,千葉市稲毛区宮野木町2150番地4,,,35.662129,140.105962
千葉市 千葉公園スポーツ施設（野球場）,スポーツ施設,チバコウエンスポーツシセツ（ヤキュウジョウ）,260-0045,千葉市中央区弁天4丁目1－1,,,35.620528,140.116253
千葉市 古市場公園スポーツ施設（野球場）,スポーツ施設,フルイチバコウエンスポーツシセツ（ヤキュウジョウ）,266-0026,千葉市緑区古市場町474－277,,,35.549381,140.147016
千葉市 有吉公園スポーツ施設（野球場）,スポーツ施設,アリヨシコウエンスポーツシセツ（ヤキュウジョウ）,266-0034,千葉市緑区おゆみ野有吉34－1,,,35.556752,140.16895
千葉市 稲毛海浜公園スポーツ施設（野球場）,スポーツ施設,イナゲカイヒンコウエンスポーツシセツ（ヤキュウジョウ）,261-0003,千葉市美浜区高浜7丁目1－3,,,35.613648,140.069038
千葉市 大宮スポーツ広場（野球場）,スポーツ施設,オオミヤスポーツヒロバ（ヤキュウジョウ）,264-0016,千葉市若葉区大宮町3417,,,35.597233,140.177611
フクダ電子スクエア,スポーツ施設,フクダデンシスクエア,260-0835,千葉県千葉市中央区川崎町2-18,,,35.5757687,140.122646
フクダ電子ヒルスコート,スポーツ施設,フクダデンシヒルスコート,260-0835,千葉県千葉市中央区川崎町2－18,,,35.5713706,140.126251
千葉市 桜木園,障害者施設,サクラギエン,264-0028,千葉市若葉区桜木8－31－15,,,35.6264137,140.165199
千葉市 亥鼻福祉作業所,障害者施設,イノハナフクシサギョウショ,260-0856,千葉市中央区亥鼻2丁目10－16,,,35.6018535,140.126548
千葉市 鎌取福祉作業所,障害者施設,カマトリフクシサギョウショ,266-0011,千葉市緑区鎌取町2810－8,,,35.5658907,140.172459
千葉市 療育センター,障害者施設,リョウイクセンター,261-0003,千葉市美浜区高浜4丁目8－3,,,35.6237234,140.068644
千葉市 大宮学園,障害者施設,オオミヤガクエン,264-0016,千葉市若葉区大宮町3816－1,,,35.5965062,140.173458
千葉市 障害者福祉センター,障害者施設,ショウガイシャフクシセンター,260-0844,千葉市中央区千葉寺町1208－2,,,35.5948255,140.134635
千葉市 新宿小学校,小学校,チバシシンジュクショウガッコウ,260-0021,千葉市中央区新宿2丁目15－1,,,35.607909,140.114303
千葉市 本町小学校,小学校,チバシホンチョウショウガッコウ,260-0012,千葉市中央区本町2丁目6－23,,,35.60932,140.128119
千葉市 寒川小学校,小学校,チバシサムガワショウガッコウ,260-0832,千葉市中央区寒川町1丁目205,,,35.597317,140.121804
千葉市 登戸小学校,小学校,チバシノブトショウガッコウ,260-0032,千葉市中央区登戸2丁目11－1,,,35.612438,140.107616
千葉市 院内小学校,小学校,チバシインナイショウガッコウ,260-0007,千葉市中央区祐光1丁目25－3,,,35.615512,140.125796
千葉市 蘇我小学校,小学校,チバシソガショウガッコウ,260-0834,千葉市中央区今井3丁目15－32,,,35.578211,140.131263
千葉市 都小学校,小学校,チバシミヤコショウガッコウ,260-0001,千葉市中央区都町1129,,,35.612507,140.144835
千葉市 都賀小学校,小学校,チバシツガショウガッコウ,263-0014,千葉市稲毛区作草部町938,,,35.629152,140.120068
千葉市 検見川小学校,小学校,チバシケミガワショウガッコウ,262-0023,千葉市花見川区検見川町3丁目322－23,,,35.648881,140.068613
千葉市 稲毛小学校,小学校,チバシイナゲショウガッコウ,263-0035,千葉市稲毛区稲毛町5丁目534－5,,,35.640697,140.083025
千葉市 畑小学校,小学校,チバシハタショウガッコウ,262-0018,千葉市花見川区畑町1385－1,,,35.665423,140.078677
千葉市 園生小学校,小学校,チバシソンノウショウガッコウ,263-0043,千葉市稲毛区小仲台9丁目30－1,,,35.647279,140.097899
千葉市 千城小学校,小学校,チバシチシロショウガッコウ,264-0016,千葉市若葉区大宮町2655,,,35.600051,140.168745
千葉市 若松小学校,小学校,チバシワカマツショウガッコウ,264-0021,千葉市若葉区若松町360－1,,,35.640785,140.16792
千葉市 大森小学校,小学校,チバシオオモリショウガッコウ,260-0811,千葉市中央区大森町268,,,35.580623,140.144476
千葉市 稲丘小学校,小学校,チバシイナガオカショウガッコウ,263-0033,千葉市稲毛区稲丘町19－30,,,35.632606,140.088013
千葉市 坂月小学校,小学校,チバシサカツキショウガッコウ,264-0012,千葉市若葉区坂月町298,,,35.612023,140.18158
千葉市 弥生小学校,小学校,チバシヤヨイショウガッコウ,263-0022,千葉市稲毛区弥生町3－18,,,35.625803,140.101136
千葉市 花園小学校,小学校,チバシハナゾノショウガッコウ,262-0025,千葉市花見川区花園4丁目1－2,,,35.656337,140.073887
千葉市 犢橋小学校,小学校,チバシコテハシショウガッコウ,262-0013,千葉市花見川区犢橋町774,,,35.67297,140.108168
千葉市 横戸小学校,小学校,チバシヨコドショウガッコウ,262-0001,千葉市花見川区横戸町1005,,,35.696165,140.120359
千葉市 幕張小学校,小学校,チバシマクハリショウガッコウ,262-0032,千葉市花見川区幕張町4丁目781,,,35.661433,140.053897
千葉市 長作小学校,小学校,チバシナガサクショウガッコウ,262-0044,千葉市花見川区長作町1273,,,35.684214,140.073743
千葉市 生浜小学校,小学校,チバシオイハマショウガッコウ,260-0824,千葉市中央区浜野町1335,,,35.559479,140.140508
千葉市 椎名小学校,小学校,チバシシイナショウガッコウ,266-0023,千葉市緑区茂呂町582,,,35.541806,140.163408
千葉市 誉田小学校,小学校,チバシホンダショウガッコウ,266-0005,千葉市緑区誉田町1丁目27,,,35.549554,140.204475
千葉市 轟町小学校,小学校,チバシトドロキチョウショウガッコウ,263-0021,千葉市稲毛区轟町3丁目4－30,,,35.630306,140.108309
千葉市 鶴沢小学校,小学校,チバシツルサワショウガッコウ,260-0003,千葉市中央区鶴沢町21－1,,,35.60987,140.133712
千葉市 平山小学校,小学校,チバシヒラヤマショウガッコウ,266-0007,千葉市緑区辺田町141,,,35.568513,140.180045
千葉市 松ケ丘小学校,小学校,チバシマツガオカショウガッコウ,260-0807,千葉市中央区松ケ丘町580,,,35.586438,140.155405
千葉市 白井小学校,小学校,チバシシライショウガッコウ,265-0053,千葉市若葉区野呂町215,,,35.580907,140.230974
千葉市 更科小学校,小学校,チバシサラシナショウガッコウ,265-0073,千葉市若葉区更科町2073,,,35.61972,140.227837
千葉市 宮崎小学校,小学校,チバシミヤザキショウガッコウ,260-0806,千葉市中央区宮崎2丁目3－13,,,35.583663,140.136586
千葉市 緑町小学校,小学校,チバシミドリマチショウガッコウ,263-0023,千葉市稲毛区緑町2丁目13－1,,,35.623442,140.097753
千葉市 川戸小学校,小学校,チバシカワドショウガッコウ,260-0802,千葉市中央区川戸町450,,,35.584782,140.167967
千葉市 山王小学校,小学校,チバシサンノウショウガッコウ,263-0002,千葉市稲毛区山王町121,,,35.665341,140.142685
千葉市 小中台小学校,小学校,チバシコナカダイショウガッコウ,263-0043,千葉市稲毛区小仲台6丁目34－1,,,35.639676,140.095854
千葉市 大宮小学校,小学校,チバシオオミヤショウガッコウ,264-0015,千葉市若葉区大宮台7丁目8－1,,,35.596181,140.182235
千葉市 小倉小学校,小学校,チバシオグラショウガッコウ,264-0006,千葉市若葉区小倉台5丁目1－1,,,35.631903,140.173037
千葉市 千草台小学校,小学校,チバシチグサダイショウガッコウ,263-0016,千葉市稲毛区天台5丁目11－1,,,35.638225,140.116007
千葉市 稲毛第二小学校,小学校,チバシイナゲダイニショウガッコウ,261-0005,千葉市美浜区稲毛海岸5丁目7－1,,,35.63699,140.075062
千葉市 あやめ台小学校,小学校,チバシアヤメダイショウガッコウ,263-0051,千葉市稲毛区園生町446－1,,,35.646871,140.115721
千葉市 星久喜小学校,小学校,チバシホシクキショウガッコウ,260-0808,千葉市中央区星久喜町1060,,,35.596806,140.146688
千葉市 幕張東小学校,小学校,チバシマクハリヒガシショウガッコウ,262-0032,千葉市花見川区幕張町4丁目681,,,35.665436,140.058005
千葉市 花見川第一小学校,小学校,チバシハナミガワダイイチショウガッコウ,262-0046,千葉市花見川区花見川4－1,,,35.694232,140.097954
千葉市 花見川第二小学校,小学校,チバシハナミガワダイニショウガッコウ,262-0046,千葉市花見川区花見川6－1,,,35.688788,140.10109
千葉市 幸町第一小学校,小学校,チバシサイワイチョウダイイチショウガッコウ,261-0001,千葉市美浜区幸町2丁目17－4,,,35.624268,140.088305
千葉市 幸町第二小学校,小学校,チバシサイワイチョウダイニショウガッコウ,261-0001,千葉市美浜区幸町2丁目9－4,,,35.617951,140.094649
千葉市 土気小学校,小学校,チバシトケショウガッコウ,267-0061,千葉市緑区土気町1634－2,,,35.531626,140.273411
千葉市 弁天小学校,小学校,チバシベンテンショウガッコウ,260-0045,千葉市中央区弁天1丁目21－2,,,35.616491,140.112619
千葉市 桜木小学校,小学校,チバシサクラギショウガッコウ,264-0028,千葉市若葉区桜木3丁目26－1,,,35.621105,140.159517
千葉市 千城台北小学校,小学校,チバシチシロダイキタショウガッコウ,264-0005,千葉市若葉区千城台北1丁目4－1,,,35.628698,140.18372
千葉市 千城台西小学校,小学校,チバシチシロダイニシショウガッコウ,264-0004,千葉市若葉区千城台西2丁目21－1,,,35.622764,140.182551
千葉市 宮野木小学校,小学校,チバシミヤノギショウガッコウ,263-0054,千葉市稲毛区宮野木町2100,,,35.658964,140.109734
千葉市 生浜西小学校,小学校,チバシオイハマニシショウガッコウ,260-0823,千葉市中央区塩田町316－1,,,35.558963,140.131289
千葉市 仁戸名小学校,小学校,チバシニトナショウガッコウ,260-0801,千葉市中央区仁戸名町380,,,35.59256,140.158669
千葉市 こてはし台小学校,小学校,チバシコテハシダイショウガッコウ,262-0005,千葉市花見川区こてはし台2丁目28－1,,,35.68794,140.122685
千葉市 花見川第三小学校,小学校,チバシハナミガワダイサンショウガッコウ,262-0046,千葉市花見川区花見川1－1,,,35.685705,140.08827
千葉市 西小中台小学校,小学校,チバシニシコナカダイショウガッコウ,262-0016,千葉市花見川区西小中台3－1,,,35.650972,140.086281
千葉市 さつきが丘東小学校,小学校,チバシサツキガオカヒガシショウガッコウ,262-0014,千葉市花見川区さつきが丘1丁目7,,,35.663923,140.099185
千葉市 さつきが丘西小学校,小学校,チバシサツキガオカニシショウガッコウ,262-0014,千葉市花見川区さつきが丘2丁目14,,,35.667364,140.090918
千葉市 高洲小学校,小学校,チバシタカスショウガッコウ,261-0004,千葉市美浜区高洲2丁目2－20,,,35.62514795,140.0798609
千葉市 北貝塚小学校,小学校,チバシキタカイヅカショウガッコウ,264-0023,千葉市若葉区貝塚町1093,,,35.628665,140.145034
千葉市 大巌寺小学校,小学校,チバシダイガンジショウガッコウ,260-0812,千葉市中央区大巌寺町375,,,35.573157,140.149072
千葉市 幕張西小学校,小学校,チバシマクハリニシショウガッコウ,261-0026,千葉市美浜区幕張西2丁目8－1,,,35.664865,140.038036
千葉市 大宮台小学校,小学校,チバシオオミヤダイショウガッコウ,264-0016,千葉市若葉区大宮町2082,,,35.585079,140.186184
千葉市 草野小学校,小学校,チバシクサノショウガッコウ,263-0051,千葉市稲毛区園生町1385,,,35.65317,140.125533
千葉市 柏台小学校,小学校,チバシカシワダイショウガッコウ,263-0051,千葉市稲毛区園生町588,,,35.648613,140.10734
千葉市 千城台東小学校,小学校,チバシチシロダイヒガシショウガッコウ,264-0002,千葉市若葉区千城台東1丁目15－1,,,35.62234,140.191512
千葉市 真砂西小学校,小学校,チバシマサゴニシショウガッコウ,261-0011,千葉市美浜区真砂4丁目5-1,,,35.6426705,140.059043
千葉市 千城台南小学校,小学校,チバシチシロダイミナミショウガッコウ,264-0003,千葉市若葉区千城台南1丁目19－1,,,35.618273,140.189326
千葉市 小中台南小学校,小学校,チバシコナカダイミナミショウガッコウ,263-0043,千葉市稲毛区小仲台8丁目15－1,,,35.646589,140.089395
千葉市 幸町第三小学校,小学校,チバシサイワイチョウダイサンショウガッコウ,261-0001,千葉市美浜区幸町1丁目10－1,,,35.61127,140.099009
千葉市 真砂東小学校,小学校,チバシマサゴヒガシショウガッコウ,261-0011,千葉市美浜区真砂2丁目13－1,,,35.637305,140.065895
千葉市 高洲第三小学校,小学校,チバシタカスダイサンショウガッコウ,261-0004,千葉市美浜区高洲3丁目3－11,,,35.626726,140.074168
千葉市 千草台東小学校,小学校,チバシチグサダイヒガシショウガッコウ,263-0014,千葉市稲毛区作草部町1298－1,,,35.631633,140.122913
千葉市 高洲第四小学校,小学校,チバシタカスダイヨンショウガッコウ,261-0004,千葉市美浜区高洲1丁目15－1,,,35.630763,140.077952
千葉市 真砂第五小学校,小学校,チバシマサゴダイゴショウガッコウ,261-0011,千葉市美浜区真砂1丁目12－15,,,35.632619,140.069148
千葉市 高浜第一小学校,小学校,チバシタカハマダイイチショウガッコウ,261-0003,千葉市美浜区高浜1丁目4－1,,,35.620059,140.07605
千葉市 稲浜小学校,小学校,チバシイナハマショウガッコウ,261-0005,千葉市美浜区稲毛海岸2丁目3－2,,,35.629948,140.084343
千葉市 作新小学校,小学校,チバシサクシンショウガッコウ,262-0045,千葉市花見川区作新台7丁目2－1,,,35.687734,140.084471
千葉市 みつわ台北小学校,小学校,チバシミツワダイキタショウガッコウ,264-0032,千葉市若葉区みつわ台3丁目5－1,,,35.641346,140.137485
千葉市 誉田東小学校,小学校,チバシホンダヒガシショウガッコウ,266-0005,千葉市緑区誉田町2丁目21－84,,,35.549533,140.218211
千葉市 大木戸小学校,小学校,チバシオオキドショウガッコウ,267-0057,千葉市緑区大木戸町317,,,35.530358,140.250121
千葉市 千城台旭小学校,小学校,チバシチシロダイアサヒショウガッコウ,264-0002,千葉市若葉区千城台東3丁目18－1,,,35.61735,140.195927
千葉市 柏井小学校,小学校,チバシカシワイショウガッコウ,262-0048,千葉市花見川区柏井4丁目48－1,,,35.709096,140.106327
千葉市 みつわ台南小学校,小学校,チバシミツワダイミナミショウガッコウ,264-0032,千葉市若葉区みつわ台1丁目17－1,,,35.633994,140.130469
