ページタイトル,施設ジャンル,施設、場所、イベントの名称（読み）,郵便番号,住所,ビル名,フロア数,緯度,経度
ほっとすぺーす・すぎな,赤ちゃんの駅,ホットスペース・スギナ,262-0043,花見川区天戸町1472-2,,,35.68407633,140.0878236
ワンズモール,赤ちゃんの駅,ワンズモール,263-0005,稲毛区長沼町330番地50,,,35.65648488,140.1179736
イオンタウンおゆみ野,赤ちゃんの駅,イオンタウンオユミノ,266-0033,緑区おゆみ野南5-37-1,,,35.54424618,140.1729951
イオンモール幕張新都心,赤ちゃんの駅,イオンモールマクハリシントシン,261-8535,美浜区豊砂1－1,,,35.65252596,140.0317822
イトーヨーカドー幕張店,赤ちゃんの駅,イトーヨーカドーマクハリテン,262-0032,花見川区幕張町4-417-25,,,35.6565143,140.0510726
イトーヨーカドー蘇我店,赤ちゃんの駅,イトーヨーカドーソガテン,260-0835,中央区川崎町52番地7,,,35.58770393,140.1221994
生活クラブいなげビレッジ虹と風,赤ちゃんの駅,セイカツクラブイナゲビレッジニジトカゼ,263-0051,稲毛区園生町1107-7,,,35.64123767,140.1033167
i-naリフォーム　モデルルーム,赤ちゃんの駅,イーナリフォームモデルルーム,263-0043,稲毛区小仲台7-9-1木谷ビル2F,,,35.64463805,140.0890929
千葉市立青葉病院,市立病院,チバシリツアオバビョウイン,260-0852,千葉市中央区青葉町1273番地2,,,35.601427,140.138591
千葉市立海浜病院,市立病院,チバシリツカイヒンビョウイン,261-0012,千葉市美浜区磯辺3丁目31－1,,,35.627705,140.051252
千葉市 休日救急診療所,市立病院,キュウジツキュウキュウシンリョウジョ,261-0001,千葉市美浜区幸町1丁目3－9,千葉市総合保健医療センター内,,35.61002,140.101441
千葉市 千城台コミュニティセンター,コミュニティセンター,チシロダイコミュニティセンター,,千葉市若葉区千城台西2丁目1－1,,,35.621898,140.186533
千葉市 都賀コミュニティセンター,コミュニティセンター,ツガコミュニティセンター,,千葉市若葉区貝塚町1221,,,35.634316,140.154666
千葉市 土気あすみが丘プラザ,コミュニティセンター,トケアスミガオカプラザ,267-0066,千葉市緑区あすみが丘7-2-4,,,35.521279,140.265203
千葉市 鎌取コミュニティセンター,コミュニティセンター,カマトリコミュニティセンター,266-0031,千葉市緑区おゆみ野3-15-2,,,35.559952,140.175703
千葉市 幕張コミュニティセンター,コミュニティセンター,マクハリコミュニティセンター,262-0032,千葉市花見川区幕張町3ー7730－4,,,35.656515,140.047597
千葉市 花島コミュニティセンター,コミュニティセンター,ハナシマコミュニティセンター,262-0042,千葉市花見川区花島町308,,,35.68149,140.096965
千葉市 畑コミュニティセンター,コミュニティセンター,ハタコミュニティセンター,262-0018,千葉市花見川区畑町1336－2,,,35.666976,140.079313
千葉市 蘇我コミュニティセンター,コミュニティセンター,ソガコミュニティセンター,,千葉市中央区今井1丁目14－35,,,35.582837,140.129469
千葉市 穴川コミュニティセンター,コミュニティセンター,アナガワコミュニティセンター,263-0024,千葉市稲毛区穴川4-12－3,,,35.636214,140.106237
千葉市 長沼コミュニティセンター,コミュニティセンター,ナガヌマコミュニティセンター,263-0005,千葉市稲毛区長沼町461－8,,,35.6577001,140.145248
千葉市 真砂コミュニティセンター,コミュニティセンター,マサゴコミュニティセンター,261-0011,千葉市美浜区真砂4丁目1－7,検見川地区サービスセンタービル,,35.63922,140.06066
千葉市 高洲コミュニティセンター,コミュニティセンター,タカスコミュニティセンター,261-0004,千葉市美浜区高洲3丁目12－1,高洲コミュニティセンター,,35.626992,140.071043
千葉市 千葉ポートタワー,観光施設,チバポートタワー,,千葉市中央区中央港1,,,35.600432,140.097845
千葉市 昭和の森フォレストビレッジ,観光施設,ショウワノモリフォレストビレッジ,267-0062,千葉市緑区小食土町955,,,35.517748,140.276238
千葉市 高原千葉村,観光施設,コウゲンチバムラ,379-1404,利根郡みなかみ町（群馬県利根郡みなかみ町相俣2325）,,,36.750142,138.892396
千葉市 ふるさと農園,観光施設,フルサトノウエン,262-0011,千葉市花見川区三角町656－3,,,35.678257,140.118205
千葉市 富田都市農業交流センター,観光施設,トミタトシノウギョウコウリュウセンター,265-0041,千葉市若葉区富田町711番地1,,,35.606592,140.243123
千葉市 下田農業ふれあい館（下田都市農業交流センター）,観光施設,シモダノウギョウフレアイカン（シモダトシノウギョウコウリュウセンター）,265-0076,千葉市若葉区下田町971番地,,,35.638568,140.206215
千葉市 中田都市農業交流センター,観光施設,ナカタトシノウギョウコウリュウセンター,265-0043,千葉市若葉区中田町2479番地35,,,35.607056,140.221869
QVCマリンフィールド,観光施設,キューブイシーマリンフィールド,261-8587,千葉市美浜区美浜1,,,35.645928,140.030966
フクダ電子アリーナ,観光施設,フクダデンシアリーナ,260-0835,千葉県千葉市中央区川崎町1-20,,,35.5774839,140.1228739
市立稲毛海岸保育所,保育所・保育園,イナゲカイガンホイクショ,261-0005,千葉市美浜区稲毛海岸5丁目6-1,,,35.637262,140.075972
市立亥鼻保育所,保育所・保育園,イノハナホイクショ,260-0856,千葉市中央区亥鼻2丁目5－6,,,35.602716,140.12797
市立大森保育所,保育所・保育園,オオモリホイクショ,260-0811,千葉市中央区大森町268,,,35.580073,140.143516
市立生実保育所,保育所・保育園,オユミホイクショ,260-0813,千葉市中央区生実町1940－1,,,35.560827,140.145743
市立川戸保育所,保育所・保育園,カワドホイクショ,260-0802,千葉市中央区川戸町424－1,,,35.583299,140.1644
市立寒川保育所,保育所・保育園,サムガワホイクショ,260-0832,千葉市中央区寒川町2丁目119,,,35.595451,140.121798
市立白旗保育所,保育所・保育園,シラハタホイクショ,260-0841,千葉市中央区白旗2丁目6－11,,,35.578366,140.140823
市立新宿保育所,保育所・保育園,シンジュクホイクショ,260-0021,千葉市中央区新宿2丁目15－2,,,35.607047,140.114299
市立神明保育所,保育所・保育園,シンメイホイクショ,260-0022,千葉市中央区神明町27－6,,,35.601625,140.116885
市立蘇我保育所,保育所・保育園,ソガホイクショ,260-0822,千葉市中央区蘇我2丁目3－18,,,35.572706,140.130983
市立浜野保育所,保育所・保育園,ハマノホイクショ,260-0824,千葉市中央区浜野町1346－5,,,35.559411,140.129458
市立弁天保育所,保育所・保育園,ベンテンホイクショ,260-0045,千葉市中央区弁天3丁目8－10,,,35.618746,140.114778
市立星久喜保育所,保育所・保育園,ホシクキホイクショ,260-0808,千葉市中央区星久喜町1063－6,,,35.598149,140.146845
市立都保育所,保育所・保育園,ミヤコホイクショ,260-0001,千葉市中央区都町2丁目26－5,,,35.612193,140.141871
市立幕張第三保育所,保育所・保育園,マクハリダイサンホイクショ,262-0032,千葉市花見川区幕張町3丁目7730-5,,,35.656543,140.048196
市立花見川第二保育所,保育所・保育園,ハナミガワダイニホイクショ,262-0046,千葉市花見川区花見川2-41-101,,,35.687579,140.094027
市立花見川第一保育所,保育所・保育園,ハナミガワダイイチホイクショ,262-0046,千葉市花見川区花見川3-23-101,,,35.690728,140.095359
市立西小中台保育所,保育所・保育園,ニシコナカダイホイクショ,262-0016,千葉市花見川区西小中台5-20,,,35.651858,140.087358
市立長作保育所,保育所・保育園,ナガサクホイクショ,262-0044,千葉市花見川区長作町739-3,,,35.674677,140.07222
市立さつきが丘第二保育所,保育所・保育園,サツキガオカダイニホイクショ,262-0014,千葉市花見川区さつきが丘1丁目32-1,,,35.665218,140.096397
市立さつきが丘第一保育所,保育所・保育園,サツキガオカダイイチホイクショ,262-0014,千葉市花見川区さつきが丘2丁目32-1,,,35.666491,140.092688
市立こてはし台保育所,保育所・保育園,コテハシダイホイクショ,262-0005,千葉市花見川区こてはし台5丁目12,,,35.690428,140.120086
市立花見川第三保育所,保育所・保育園,ハナミガワダイサンホイクショ,262-0046,千葉市花見川区花見川4-2,,,35.695494,140.099076
市立幕張第二保育所,保育所・保育園,マクハリダイニホイクショ,262-0032,千葉市花見川区幕張町4丁目636,,,35.661598,140.05789
市立幕張第一保育所,保育所・保育園,マクハリダイイチホイクショ,262-0032,千葉市花見川区幕張町5丁目417－260,,,35.654864,140.053153
市立宮野木保育所,保育所・保育園,ミヤノギホイクショ,263-0051,千葉市稲毛区園生町238-56,,,35.652352,140.101737
市立緑町保育所,保育所・保育園,ミドリマチホイクショ,263-0023,千葉市稲毛区緑町2丁目22-1,,,35.623298,140.095399
市立長沼原保育所,保育所・保育園,ナガヌマハラホイクショ,263-0001,千葉市稲毛区長沼原町242-2,,,35.670103,140.124321
市立轟保育所,保育所・保育園,トドロキホイクショ,263-0021,千葉市稲毛区轟町1丁目12-13,,,35.624765,140.110186
市立天台保育所,保育所・保育園,テンダイホイクショ,263-0016,千葉市稲毛区天台1丁目10-6,,,35.631019,140.114544
市立園生保育所,保育所・保育園,ソンノウホイクショ,263-0051,千葉市稲毛区園生町1325-1,,,35.652461,140.123969
市立小深保育所,保育所・保育園,コブケホイクショ,263-0003,千葉市稲毛区小深町261-7,,,35.660843,140.150238
市立小中台保育所,保育所・保育園,コナカダイホイクショ,263-0043,千葉市稲毛区小仲台9丁目30-2,,,35.647888,140.097048
市立あやめ台第二保育所,保育所・保育園,アヤメダイダイニホイクショ,263-0052,千葉市稲毛区あやめ台3-19,,,35.648385,140.111568
市立あやめ台第一保育所,保育所・保育園,アヤメダイダイイチホイクショ,263-0052,千葉市稲毛区あやめ台1-15-101,,,35.65009,140.116086
市立千草台保育所,保育所・保育園,チグサダイホイクショ,263-0013,千葉市稲毛区千草台1丁目1-27,,,35.635684,140.118254
